PETR4
VALE3
ITUB4
BBDC4
BBAS3
ELET3
ABEV3
MGLU3
LREN3
RENT3
HYPE3
RADL3
GGBR4
SUZB3
B3SA3
WEGE3
EQTL3
CPLE6
CMIG4
SBSP3
ITSA4
BBSE3
BRFS3
JHSF3
MRVE3
CYRE3
EZTC3
PCAR3
ASAI3
CRFB3
RAIL3
VBBR3
UGPA3
CSNA3
BRKM5
EMBR3
AZUL4
GOLL4
CVCB3
TOTS3
LWSA3
ALPA4
HAPV3
GNDI3
FLRY3
SLCE3
AGRO3
BRAP4
USIM5
ENEV3
EGIE3
TAEE11
TRPL4
SAPR11
COGN3
YDUQ3
ANIM3
SEER3
SIMH3
TIMS3
VIVT3
OIBR3
ARZZ3
SOMA3
GRND3
VAMO3
MOVI3
JSLG3
ECOR3
CCRO3
ENBR3
REDR3
CSMG3
CPFE3
NEOE3
KLBN11
RRRP3
PRIO3
PETR3
ELET6
BBDC3
BRSR6
SANB4
PSSA3
MDIA3
MRFG3
JBSS3
BEEF3
QUAL3
RDOR3
NTCO3
CIEL3
GETT11
BPAC11
MODL11
TEND3
CURY3
ZAMP3
BHIA3
